"methane","cpi","export","import","ip"
1625.96,4.35,14.42,30.64,43.65
1628.05,4.41,14.72,31.78,44.29
1638.43,4.47,15.05,31.32,44.77
1644.8,4.53,15,33.81,44.78
1642.61,4.59,15.23,32.02,45.15
1639.54,4.65,15.28,31.74,45.61
1638.73,4.71,15.8,35.95,45.97
1638.82,4.77,16,36.07,46.24
1640.87,4.84,16.03,36.68,46.2
1643.96,4.9,15.66,38.07,46.17
1643.14,4.96,16.02,35.2,46.89
1639.75,5.02,15.77,34.14,46.66
1638,5.09,16.05,42.16,47.03
1641.69,5.15,16.13,36.05,47.33
1650.61,5.22,15.58,38.01,47.09
1654.59,5.29,15.76,35.69,47.15
1653.78,5.36,15.78,36.36,47.12
1656.2,5.43,16.45,34.43,47.27
1655.6,5.52,16.42,37.5,47.56
1652.24,5.59,15.61,36.88,47.69
1654.62,5.68,16.11,36.89,47.99
1658.18,5.76,16.44,37.04,47.62
1655.87,5.82,16.53,37.48,47.98
1650.06,5.89,16,38.34,47.7
1646.81,5.96,16.56,34.63,48.02
1652.24,6.03,16.82,33.86,47.95
1662.49,6.08,16.64,41.16,48.24
1667.5,6.15,17.39,35.62,48.71
1666.81,6.22,17.67,38.92,49.15
1666.05,6.31,17.75,42.07,49.07
1666.28,6.4,17.84,39,49.34
1666.92,6.45,18.79,36.86,49.37
1669.27,6.48,18.21,37.39,49.11
1670.79,6.5,18.87,39.03,49.74
1668.44,6.54,18.92,37.77,49.26
1664.78,6.59,19.02,38.36,49.67
1662.33,6.63,19.37,39.62,50.14
1664.37,6.68,18.75,38.5,49.96
1672.58,6.74,19.12,40.41,50.28
1678.67,6.79,19.71,39.34,50.47
1678.98,6.85,18.93,41.44,50.26
1679.11,6.93,19.3,38.89,50.61
1679.39,7.01,19.44,40.47,50.25
1679.03,7.09,20.71,39.07,51.09
1680.02,7.19,20.82,40.26,51.09
1681.33,7.31,21.26,40.17,51.44
1681.84,7.44,21.53,41.51,51.62
1680,7.57,22.46,42.13,51.85
1675.96,7.65,22.95,42.99,52.1
1677.16,7.75,22.32,42.29,52.13
1685.59,7.84,23.51,41.54,52.71
1691.57,7.95,23.44,44.16,53.22
1691.17,8.07,24.38,42.75,53.52
1690.49,8.2,25.15,43.33,53.71
1692.03,8.35,24.06,41.27,53.84
1692.62,8.48,24.88,44.72,54.52
1691.37,8.65,25.9,44.15,54.61
1690.1,8.82,26.15,42.18,54.69
1689.1,8.95,26.63,42.94,54.81
1687.17,9.12,26.17,44.66,55.19
1686,9.32,25.51,41.45,54.99
1689.44,9.51,25.87,44.44,55.48
1696.12,9.72,26.24,42.84,55.72
1701.14,9.91,26.25,43.1,55.56
1702.85,10.1,27.04,44.11,56.16
1701.92,10.3,27.89,46.26,56.68
1700.53,10.54,27.39,43.35,56.64
