methane,social factors,value
1625.96,cpi,4.35
1628.05,cpi,4.41
1638.43,cpi,4.47
1644.8,cpi,4.53
1642.61,cpi,4.59
1639.54,cpi,4.65
1638.73,cpi,4.71
1638.82,cpi,4.77
1640.87,cpi,4.84
1643.96,cpi,4.9
1643.14,cpi,4.96
1639.75,cpi,5.02
1638,cpi,5.09
1641.69,cpi,5.15
1650.61,cpi,5.22
1654.59,cpi,5.29
1653.78,cpi,5.36
1656.2,cpi,5.43
1655.6,cpi,5.52
1652.24,cpi,5.59
1654.62,cpi,5.68
1658.18,cpi,5.76
1655.87,cpi,5.82
1650.06,cpi,5.89
1646.81,cpi,5.96
1652.24,cpi,6.03
1662.49,cpi,6.08
1667.5,cpi,6.15
1666.81,cpi,6.22
1666.05,cpi,6.31
1666.28,cpi,6.4
1666.92,cpi,6.45
1669.27,cpi,6.48
1670.79,cpi,6.5
1668.44,cpi,6.54
1664.78,cpi,6.59
1662.33,cpi,6.63
1664.37,cpi,6.68
1672.58,cpi,6.74
1678.67,cpi,6.79
1678.98,cpi,6.85
1679.11,cpi,6.93
1679.39,cpi,7.01
1679.03,cpi,7.09
1680.02,cpi,7.19
1681.33,cpi,7.31
1681.84,cpi,7.44
1680,cpi,7.57
1675.96,cpi,7.65
1677.16,cpi,7.75
1685.59,cpi,7.84
1691.57,cpi,7.95
1691.17,cpi,8.07
1690.49,cpi,8.2
1692.03,cpi,8.35
1692.62,cpi,8.48
1691.37,cpi,8.65
1690.1,cpi,8.82
1689.1,cpi,8.95
1687.17,cpi,9.12
1686,cpi,9.32
1689.44,cpi,9.51
1696.12,cpi,9.72
1701.14,cpi,9.91
1702.85,cpi,10.1
1701.92,cpi,10.3
1700.53,cpi,10.54
1701.08,cpi,10.69
1702.47,cpi,10.83
1703.58,cpi,11.03
1703.37,cpi,11.3
1700.21,cpi,11.67
1698.2,cpi,12.15
1701.98,cpi,12.5
1707.19,cpi,12.82
1710.52,cpi,13.21
1713.12,cpi,13.58
1713.23,cpi,14.05
1712.14,cpi,14.76
1713.54,cpi,15.42
1714.42,cpi,16.19
1712.55,cpi,16.43
1710.65,cpi,16.62
1708.47,cpi,16.84
1706.56,cpi,17.07
1710.22,cpi,17.53
1717.59,cpi,17.8
1722.01,cpi,18.07
1723.47,cpi,18.35
1723.29,cpi,18.62
1721.57,cpi,19.21
1721.25,cpi,19.61
1722.06,cpi,19.87
1722.37,cpi,20.12
1722.07,cpi,20.39
1718.88,cpi,20.68
1715.95,cpi,21.07
1719.12,cpi,21.48
1726.05,cpi,21.83
1732.71,cpi,22.27
1737.47,cpi,22.68
1739.58,cpi,23.09
1738.93,cpi,25.93
1737.38,cpi,26.69
1736.92,cpi,27.49
1736.64,cpi,28.16
1734.97,cpi,28.81
1731.58,cpi,29.55
1728.81,cpi,30.18
1730.33,cpi,30.79
1734.61,cpi,31.52
1737.67,cpi,32.46
1739.23,cpi,33.3
1738.56,cpi,34.13
1735.77,cpi,34.9
1734.37,cpi,35.72
1735.39,cpi,36.62
1736.58,cpi,37.58
1735,cpi,38.63
1730.89,cpi,39.72
1728.01,cpi,40.97
1731.14,cpi,42.32
1738.45,cpi,43.6
1743.38,cpi,44.83
1745.22,cpi,45.95
1744.29,cpi,47.02
1741.42,cpi,48.13
1740.89,cpi,49.23
1741.96,cpi,50.43
1741.93,cpi,51.75
1740.64,cpi,53.04
1736.9,cpi,54.47
1732.39,cpi,55.13
1734.06,cpi,55.75
1742.89,cpi,56.3
1749.76,cpi,56.96
1751.23,cpi,57.62
1751.61,cpi,58.25
1751.12,cpi,59.01
1749.51,cpi,59.61
1749,cpi,60.2
1749.42,cpi,60.87
1747.65,cpi,61.51
1742.84,cpi,62.11
1740.16,cpi,62.62
1743.58,cpi,63.1
1749.77,cpi,63.57
1754.34,cpi,63.95
1755.51,cpi,64.32
1753.86,cpi,64.64
1752.23,cpi,65.06
1752.75,cpi,65.41
1752.22,cpi,65.82
1749.59,cpi,66.28
1748.3,cpi,66.71
1746.05,cpi,67.06
1742.05,cpi,67.46
1744.29,cpi,67.8
1752.64,cpi,68.09
1758.89,cpi,68.4
1760.04,cpi,68.72
1756.92,cpi,69.09
1753.38,cpi,69.45
1753.86,cpi,70.04
1755.68,cpi,70.34
1755.53,cpi,70.7
1753.8,cpi,70.96
1750.09,cpi,71.28
1746.04,cpi,71.59
1747.75,cpi,71.94
1754.98,cpi,72.21
1760.28,cpi,72.46
1761.71,cpi,72.7
1761.89,cpi,73
1761.44,cpi,73.42
1761.44,cpi,73.88
1762.95,cpi,74.16
1764.69,cpi,74.43
1764.24,cpi,74.83
1760.33,cpi,75.18
1756.15,cpi,75.57
1760.19,cpi,75.93
1770.67,cpi,77.19
1776.23,cpi,77.6
1775.48,cpi,77.96
1774.04,cpi,78.36
1773.79,cpi,78.64
1773.9,cpi,78.86
1774.58,cpi,79.15
1774.95,cpi,79.53
1772.66,cpi,79.76
1767.35,cpi,79.95
1762.94,cpi,80.29
1764.62,cpi,80.58
1771.01,cpi,80.89
1776.61,cpi,81.18
1778.55,cpi,81.4
1777.24,cpi,81.64
1775.53,cpi,81.95
1775.45,cpi,82.27
1776.5,cpi,82.57
1777.2,cpi,82.66
1774.57,cpi,82.94
1768.14,cpi,83.38
1763.46,cpi,83.73
1765.45,cpi,83.96
1772.05,cpi,84.35
1777.09,cpi,84.56
1777.73,cpi,84.88
1775.32,cpi,85.13
1772.87,cpi,85.42
1772.53,cpi,85.71
1773.66,cpi,85.98
1773.87,cpi,86.43
1770.87,cpi,86.93
1766.11,cpi,87.24
1763.02,cpi,87.39
1764.51,cpi,87.58
1770.45,cpi,87.84
1775.48,cpi,87.95
1776.57,cpi,88.09
1775.93,cpi,88.26
1774.09,cpi,88.66
1772.82,cpi,88.88
1773.41,cpi,89.16
1772.74,cpi,89.57
1770.3,cpi,89.85
1766.91,cpi,90.06
1764.21,cpi,90.36
1766.85,cpi,90.65
1773.67,cpi,90.89
1778.25,cpi,91.13
1779.5,cpi,91.5
1779.65,cpi,91.76
